,US10Y,US2Y,US5Y,DE10Y,DE2Y,DE5Y,FR10Y,IT3Y,AU10Y,AU3Y,JP10Y,GB10Y,KRW3Y,CAD10Y
2016-01-01,5.670999378597175e-05,1.857843566095208e-05,2.8122483546150792e-05,0.00024465152855562936,1.634390522480753e-05,0.0001510745935659788,0.00028618010030454107,0.00024092609088478522,0.00019640014891186082,4.944490828420491e-05,8.310530537678457e-05,0.00013419784339227837,6.312443312974083e-05,-1.5113668820697627e-05
2016-01-04,-6.433372412032827e-05,0.0,1.3399527277419724e-05,7.21828152554413e-05,2.553925101560504e-05,0.00017614729509615254,0.0001405044977844321,8.322584510299282e-05,2.7918801420946234e-05,0.0,0.0,6.4674904144898125e-06,-1.7403726865592363e-05,1.683949016982012e-05
2016-01-05,0.000215624041443072,3.792471384299637e-05,7.577280500110932e-05,0.00017412782510866373,1.892675465404586e-05,0.00011879902107834812,0.0002654458325954418,0.00011368202554084139,0.0001008701252967702,0.0,6.924414616317061e-05,0.00015742886074181188,0.0,5.884041515850938e-05
2016-01-06,4.440652368779041e-05,2.0467179358513287e-05,4.378819100058794e-05,-0.0001365294418705207,-3.1473316032108827e-06,-6.874935242792914e-05,-0.0002693962616056865,-0.0001724713635995739,0.0001306867551593461,6.426315132558973e-05,6.840805700133312e-05,-1.7721952974366058e-05,4.201265485257715e-06,3.5652375123830168e-06
2016-01-07,3.987955677858044e-05,1.2340703684362772e-05,4.8594939641082535e-05,0.00012676379323096402,1.2736439847474882e-05,9.561083727038508e-05,0.00026080676253538307,8.640548648777893e-05,-0.00015255233454483845,-6.265222659958488e-05,0.00011016288572011041,7.084888717534211e-05,-3.4188881119051425e-05,1.0704740656109644e-05
2016-01-08,-6.262298253691016e-05,1.824525693252327e-05,8.400794113938802e-06,-8.23611643106162e-05,-3.262443917176831e-06,-4.364188731892732e-05,-0.00019597992127115974,-8.596851863256096e-05,6.660003653054463e-05,3.749513915414696e-05,0.0,-7.097128381465386e-06,4.735565907827561e-05,-2.607780420332334e-06
2016-01-11,0.00017928712979462715,1.0433120365182116e-05,4.935942134713623e-05,1.1737706631963334e-05,-6.673260737250931e-06,-1.758337307748479e-05,-2.0263993943739287e-05,5.726245554502202e-05,-7.489305184113325e-05,-2.4642431870917658e-05,5.2730874482199596e-05,1.8756079938805736e-05,-4.204349335498534e-06,5.191862702709821e-05
2016-01-12,8.834583731250927e-05,1.4283303345642695e-05,3.8142324187961166e-05,0.00010315946846159443,3.418778330137394e-06,7.000100523124256e-05,0.0001738027970796789,-2.828591262428099e-05,5.4938558758506364e-05,1.2569212779428848e-05,0.00012522902182346508,1.2427574557284977e-05,-4.348754181320841e-06,3.9215671871237075e-05
2016-01-13,-9.174861213469556e-05,1.4542338580731308e-05,2.41740289054601e-06,-1.7780318743465418e-05,-6.981902539945483e-06,2.6151482901337428e-05,-0.00010162099472881866,-0.00011234785458710037,0.00016878243081509757,7.468335180596986e-05,-0.00012617302206367553,2.277440424311749e-05,-3.011515214037315e-05,-1.6040072754968912e-06
2016-01-14,0.00014207169434964377,5.061059385921993e-05,0.0001079657869534069,0.00018509421492071896,3.179476356527619e-05,0.00018238537647274447,0.0002875065269378998,0.00016812523217658355,-1.9699734512514734e-05,0.0,0.00015662050919606905,0.00012758600642685843,0.0,7.336739013024539e-05
2016-01-15,0.0,0.0,0.0,-3.004963344941073e-06,-3.588871140324657e-06,-8.640394401160992e-06,-3.598690700291595e-05,-0.00011110889243387622,0.0,3.716939283776705e-05,0.00014638624296541992,-6.385769952449841e-05,4.4284262967251385e-06,-1.594705465033599e-05
2016-01-18,1.8071046589393405e-05,-1.0393043256680629e-05,-1.9509361505313364e-05,-5.7320817475678214e-05,-3.668756091487797e-06,-1.709549819583002e-05,-3.093312404375547e-05,5.579256481453512e-05,-3.4946877298868345e-05,-1.2321438069176214e-05,-0.00011391927658312056,-2.628822013975857e-05,0.0,-1.1263282294936052e-05
2016-01-19,7.308173527930103e-05,3.963824116760438e-05,8.56444742343551e-05,0.0002649228502337668,2.651856699584118e-05,0.00015121504771052147,0.00026878377683480024,-0.000278683037685307,9.114831068970385e-05,3.583713308468976e-05,3.0781204901471145e-05,0.00018354707717298225,4.4333093717254996e-05,2.0373959549122494e-05
2016-01-20,-5.854235880636751e-05,-3.963748991817021e-06,-1.905858987346688e-05,0.00010971942536780077,4.6524972116120786e-05,0.00019932425453970094,0.00030834380056279345,0.0003575576891977598,-5.3914979754939145e-05,-3.3801497799315404e-05,-8.273308995161814e-05,-0.0001166015873932913,8.78052900368497e-06,-9.049323552903978e-05
2016-01-21,-3.614070084910479e-05,-3.00999325017913e-05,-6.078930131947364e-05,-5.789170895509379e-05,1.1966219249669659e-05,1.6594962700590687e-05,-4.128587642954365e-05,8.007481758731643e-05,-5.904351880184613e-05,-3.2405544552181145e-05,-5.1833423069989404e-05,-0.00010116560886940246,-1.3541296079896728e-05,-5.9706366370291575e-05
2016-01-22,4.113596179629081e-05,4.743372007018068e-06,1.3937972518203068e-05,3.0697117296901746e-05,-4.098171945873733e-06,-8.225130929085802e-06,6.283108427759924e-05,-7.931087156495206e-05,-6.608594669789477e-06,0.0,4.063504232588778e-05,7.154850726049144e-05,-4.500635315407731e-06,2.9763843711551944e-05
2016-01-25,3.69572412427775e-05,3.5225572237339506e-05,4.39999982609371e-05,0.00011564997982839445,2.1319662043942736e-05,8.940792260399516e-05,0.00024817062352639,0.0001038024861723807,5.849428870938281e-05,2.9800626252302616e-05,5.128492528306521e-05,-2.0859529072205735e-05,3.5677236007536773e-05,1.1377765257357089e-05
2016-01-26,-1.0758779700737239e-05,1.5025768072052558e-05,1.132741610911728e-05,1.2643434257499996e-05,-1.78728502810753e-05,-3.216089800151527e-05,-2.122651548087423e-05,5.074590748812669e-05,1.9943201799723547e-05,-9.323670198266892e-06,3.146393638654841e-05,-1.6031612368901958e-05,-1.3456403226416935e-05,1.3825819402973408e-05
2016-01-27,4.052267450277008e-06,2.1683422434914854e-05,3.550521353454552e-05,0.00014504802501369825,4.546662074121825e-06,8.815344604288638e-05,0.00015008241268059088,-0.00012613739338586855,-1.900608060044243e-05,-8.469559991286238e-06,-5.1884275618919655e-05,6.33687000279115e-05,-2.248542599346921e-05,0.0
2016-01-28,5.6330313228963875e-05,7.35739301677545e-05,8.742323700767238e-05,0.0002819675457484213,6.823546183665819e-05,0.00023158516738424343,0.0005716249053561334,0.0002747389219835278,6.833923427053351e-05,4.058107910872652e-05,0.0008859597236840229,0.00022734680714327083,8.12900423183101e-05,9.450624361306098e-06
2016-01-29,-2.697720493856173e-05,-5.809544299828995e-05,-7.298231954411374e-05,-0.00010995610919209638,-3.684570888923226e-05,-0.0001041551422367918,-0.00023584511398335348,-2.486543387746916e-05,1.816644544248933e-05,7.88990369246224e-06,0.00013822606739896542,-0.00014879146604321355,6.347565331852172e-05,-1.3876026342553534e-05
