,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,OMX,FTSE_JSE,NASDAQ,NIKKEI
2014-09-11,-8.530995820078236e-07,0.0,-4.224849689865122e-06,2.1716802411673946e-06,-3.521299725055391e-07,-1.526828405341982e-05,0.0002599892831569437,7.595348856062523e-06,-0.006354885305730101,5.8263643656920224e-05,1.195061246844121e-05,-2.476397487206797e-05,-0.001601555085677796,3.956880817364769e-05
2014-09-12,-3.7347973814716304e-08,-4.8809398721785765e-06,2.3122923891353246e-06,-2.730862586551604e-05,-2.3520233983726795e-05,-0.0001210225162700159,-0.0007475346183609857,-6.429182845055395e-06,0.003572857163197062,8.404873015481101e-05,7.435084471838113e-06,0.0002562238430275507,-0.0032415147485490314,0.0
2014-09-15,1.1163931524705301e-06,-1.882321228657369e-05,-6.910737845985624e-06,-3.2254560873929853e-05,-1.1220618644902254e-05,-4.724688753820732e-05,0.0009339932723211557,-8.35961463939084e-06,0.005872413332847022,0.0,4.519145671972624e-06,-0.00015569035201634795,0.003029759926839419,-1.2525771487790801e-05
2014-09-16,1.5051711281790113e-07,3.037581205564107e-05,9.95461522671847e-06,3.75998514841342e-05,0.0001262028548872455,-9.738719949953795e-05,-0.0008728719950431911,-2.295377029590656e-06,-0.0006252499138274045,0.0001277007444250322,2.831896180420941e-05,-9.323734782187208e-05,0.0009110446843254184,-9.105848912711385e-05
2014-09-17,7.101338564879576e-07,5.107440225450226e-05,4.0976304858016187e-05,6.824195684421137e-05,1.4849160977155454e-05,1.627903452101664e-05,0.00018150116913496852,2.872363827747719e-05,-0.0007533750444270492,0.00010736382772089242,2.1427849521110562e-05,0.0005188548751757957,0.0036202918977589573,0.00016570469649249183
2014-09-18,-5.7688373244670155e-08,2.2843147509306068e-05,9.298179812332943e-06,-2.6538725805628138e-06,-0.00013813049643221487,0.0003188163335970106,-0.003062238657813294,2.68523065006858e-05,-0.0003665439628633838,-0.0004826471381421733,1.2593620490183468e-05,1.8207321219543115e-05,-0.0004149605151294069,0.0001905066155234258
2014-09-19,-1.2897854941376204e-06,-3.1183362993881524e-05,-1.4693380667170813e-05,-3.108731316620197e-05,-0.00018924038466803958,-0.0008469624354091044,-0.002149487788763366,-6.905831555042059e-05,-0.0008381352926181043,-0.0004841613816697996,-8.628988400250498e-06,-0.0006427236501915612,-0.0042658445838323735,-6.107222515729536e-05
2014-09-22,-1.0528999645792833e-06,-7.158847140587808e-05,-2.9551232641546058e-05,-0.00011027141014377918,-0.00015463221171330193,0.000324038612889591,-0.0007674930713378596,-9.235928898680768e-05,-0.0002137674418997832,-0.00026567854503065476,-1.8353583182096078e-05,-0.00020416055128144952,-0.0012754284292253873,0.0
2014-09-23,1.2868524357732537e-06,4.455674542312007e-05,1.2204514882641826e-05,6.409779730156881e-05,0.00028242479828389497,-0.00014083624843305137,-0.0017813882950766604,2.220282726327346e-05,0.0003023529157186307,0.00020578150352093002,3.4680832148604e-06,0.0,0.003106553279677025,-4.607836907876328e-05
2014-09-24,-1.733067526977165e-06,-4.006617972477399e-05,-2.0649602779239244e-05,-8.050588046730901e-05,-0.0003146383177981317,-1.588282854729764e-05,-0.007635198551652625,-6.914401379630279e-05,-0.001659105806007159,-0.00040855484423299297,-1.2100619288955105e-05,-0.0005617254108652556,-0.00430070672519058,0.00011507511683570287
