,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,OMX,FTSE_JSE,NASDAQ,NIKKEI
1996-01-11,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997,0.07142857499999997
1996-01-12,0.0036023448760377887,0.007690914415305912,0.018154493739782222,0.017773671586255556,0.007690914415305912,0.007690914415305912,0.007690914415305912,0.8459704204444444,0.007098395464336223,0.006881301427889421,0.01216933219701089,0.007838179956399925,0.007690914415305912,0.042057282866733325
1996-01-15,0.0008429382193109805,0.001780466351055434,0.005327778032248209,0.00338909483129888,0.001780466351055434,0.001780466351055434,0.001780466351055434,0.9033517688888888,0.001573950365401177,0.00183206425545025,0.0038929712758585876,0.002872914244821916,0.001780466351055434,0.06801420943138889
1996-01-16,0.00031113198392087514,0.000611790806528933,0.003331630355371217,0.000705144216573672,0.000611790806528933,0.000611790806528933,0.000611790806528933,0.9131141806666667,0.0005381744984235509,0.0009106635441495225,0.0006747959035276717,0.0017727029596349996,0.000611790806528933,0.07558261934641554
1996-01-17,0.00024212804265447857,0.0005017956294087303,0.004914677171954774,0.00036406117058509,0.0005017956294087303,0.0005017956294087303,0.0005017956294087303,0.8144423220444446,0.0003883362500225965,0.0018704691965716505,0.0005378913036123205,0.0031968561088465157,0.0005017956294087303,0.17153429214137783
1996-01-18,0.0004290498031050352,0.000895815834757724,0.00622154712300319,0.0005178554434982622,0.000895815834757724,0.000895815834757724,0.000895815834757724,0.6778310702933337,0.0004925063489038509,0.0023233622594050754,0.001126960318944769,0.009668543824017542,0.000895815834757724,0.2969100297642223
1996-01-19,0.00132632462143562,0.002976083682299944,0.008768329094109111,0.005268655384585789,0.002976083682299944,0.002976083682299944,0.002976083682299944,0.42374298168255564,0.0021782275242624295,0.00580097521636418,0.0031539679914591996,0.058666894002666455,0.002976083682299944,0.47621321895333335
1996-01-22,0.001727552488642984,0.0036222733845755277,0.01243246930912177,0.01453020767049822,0.0036222733845755277,0.0036222733845755277,0.0036222733845755277,0.3431072230634889,0.002504741524175225,0.00603107934971789,0.0033490667296263497,0.10664441540099558,0.0036222733845755277,0.49156187000577783
1996-01-23,0.002326839590089568,0.003660730024096603,0.016906711502087838,0.01404400861586379,0.003660730024096603,0.003660730024096603,0.003660730024096603,0.30879522320991104,0.004818426071463155,0.006106801392939522,0.004087153959029743,0.08100757812899999,0.003660730024096603,0.5436036028702222
1996-01-24,0.0013006473394249045,0.002549151269331769,0.01496932107312001,0.0047384202638322825,0.002549151269331769,0.002549151269331769,0.002549151269331769,0.22518313993951553,0.0024896954678257192,0.0029577928905212877,0.002692821397583484,0.05589560579306202,0.002549151269331769,0.677026790251111
1996-01-25,0.0010733887552996245,0.002742489952631209,0.012455530683403222,0.006446119543364831,0.002742489952631209,0.002742489952631209,0.002742489952631209,0.18655761225102221,0.0019756710920528935,0.0033326408470316995,0.002916862791492578,0.06522928949210192,0.002742489952631209,0.7063004294444445
1996-01-26,0.0011097451819638516,0.0012890774845922422,0.01231968449054197,0.007383604443921961,0.0012890774845922422,0.0012890774845922422,0.0012890774845922422,0.3570933262593333,0.001078132597517978,0.002495946065628011,0.0023392612124151467,0.07497796157154567,0.0012890774845922422,0.534756948228889
1996-01-29,0.0006983789217304313,0.0004203944287901283,0.011796872025773134,0.006445219620021811,0.0004203944287901283,0.0004203944287901283,0.0004203944287901283,0.5138095655262221,0.0010046169923857919,0.0014336755630558324,0.0015227465416845119,0.10899266874783914,0.0004203944287901283,0.3521942632437778
1996-01-30,0.00045736215020852027,0.00028641115799561614,0.010611607837523972,0.003482731196711382,0.00028641115799561614,0.00028641115799561614,0.00028641115799561614,0.51286254372,0.0008385572597594267,0.001082759840193319,0.001076124946738265,0.20522593655420668,0.00028641115799561614,0.2629303256906446
1996-01-31,0.00047856008222860744,0.0003862050277484073,0.010811357686071037,0.006704451527820129,0.0003862050277484073,0.0003862050277484073,0.0003862050277484073,0.524448416874889,0.0012164639405663614,0.0017623880206135332,0.0014810246104842845,0.1953670177780438,0.0003862050277484073,0.25579929973557775
1996-02-01,0.00037452316768835775,0.000271381629248992,0.010043768929570061,0.002829565239045915,0.000271381629248992,0.000271381629248992,0.000271381629248992,0.42774035206391126,0.0009638459011787536,0.0011921473878702784,0.0010795915523636992,0.32006983696146674,0.000271381629248992,0.23434945677201335
1996-02-02,0.00028171084395718686,0.00023936301673817682,0.00883776924620086,0.002102623699677827,0.00023936301673817682,0.00023936301673817682,0.00023936301673817682,0.2874635192171044,0.0005976557144788882,0.000976836436457549,0.0007954263559395055,0.5105592808275555,0.00023936301673817682,0.18718836587036225
1996-02-05,0.00039113701670118146,0.0004419522960257927,0.010653360359012664,0.005780425174936527,0.0004419522960257927,0.0004419522960257927,0.0004419522960257927,0.22110998035282226,0.0004299607403357457,0.0015005937600791565,0.0011606679465435202,0.4704634874515823,0.0004419522960257927,0.2863006242515555
1996-02-06,0.00042333966863668715,0.0004159292848604172,0.014947795807918824,0.007130073952696621,0.0004159292848604172,0.0004159292848604172,0.0004159292848604172,0.20088095899208888,0.00040571078114735924,0.0012346414940450935,0.001469545868323172,0.41032586416941547,0.0004159292848604172,0.36110241230711126
