,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,KOSPI,OMX,SGX,FTSE_JSE,RTS,NASDAQ,NIKKEI
1995-01-11,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997,0.05882352999999997
1995-01-12,0.2553532683182047,0.0446052971811047,0.028369279266650418,0.056875916893674446,0.0446052971811047,0.0446052971811047,0.0446052971811047,0.04682974937883396,0.0446052971811047,0.0446052971811047,0.0446052971811047,0.0446052971811047,0.0446052971811047,0.03591148295740523,0.0446052971811047,0.0446052971811047,0.086002104838146
1995-01-13,0.36514196281617894,0.024577868530961274,0.025196981262949888,0.11063244808281894,0.024577868530961274,0.024577868530961274,0.024577868530961274,0.0479316551872404,0.024577868530961274,0.024577868530961274,0.024577868530961274,0.024577868530961274,0.024577868530961274,0.018515310175816417,0.024577868530961274,0.024577868530961274,0.16222508708424213
1995-01-16,0.256974471935343,0.013989640752341152,0.018428165164073276,0.1305280844105317,0.013989640752341152,0.013989640752341152,0.013989640752341152,0.19008354721748952,0.013989640752341152,0.013989640752341152,0.013989640752341152,0.013989640752341152,0.013989640752341152,0.012478366445762537,0.013989640752341152,0.013989640752341152,0.23762130974904117
1995-01-17,0.2727989603856502,0.013271917635154933,0.04880111431792014,0.11234041267287252,0.013271917635154933,0.013271917635154933,0.013271917635154933,0.20350050012521154,0.013271917635154933,0.013271917635154933,0.013271917635154933,0.013271917635154933,0.013271917635154933,0.009608975773825596,0.013271917635154933,0.013271917635154933,0.20695895807502
1995-01-18,0.29436032670358586,0.010871718024587342,0.09907669089661973,0.13002729919854997,0.010871718024587342,0.010871718024587342,0.010871718024587342,0.12857692212499192,0.010871718024587342,0.010871718024587342,0.010871718024587342,0.010871718024587342,0.010871718024587342,0.009932648164956023,0.010871718024587342,0.010871718024587342,0.21843723003158072
1995-01-19,0.3255905394322832,0.00943799945602525,0.018439163365461215,0.24817450843983846,0.00943799945602525,0.00943799945602525,0.00943799945602525,0.025521560663878097,0.00943799945602525,0.00943799945602525,0.00943799945602525,0.00943799945602525,0.00943799945602525,0.010092593817259887,0.00943799945602525,0.00943799945602525,0.2683635478805504
1995-01-20,0.32481618128051215,0.012013590332062838,0.02445991082769913,0.19765177559955993,0.012013590332062838,0.012013590332062838,0.012013590332062838,0.04141145038542984,0.012013590332062838,0.012013590332062838,0.012013590332062838,0.012013590332062838,0.012013590332062838,0.020498537802711745,0.012013590332062838,0.012013590332062838,0.2590125606757421
1995-01-23,0.27588832192753016,0.01227317358591264,0.02323584475813823,0.26313148704335954,0.01227317358591264,0.01227317358591264,0.01227317358591264,0.03676217834682048,0.01227317358591264,0.01227317358591264,0.01227317358591264,0.01227317358591264,0.01227317358591264,0.03000953029044927,0.01227317358591264,0.01227317358591264,0.23596762869085766
1995-01-24,0.2626918634002483,0.009713773191170722,0.016966034436034266,0.3219030763990327,0.009713773191170722,0.009713773191170722,0.009713773191170722,0.04120233895107095,0.009713773191170722,0.009713773191170722,0.009713773191170722,0.009713773191170722,0.009713773191170722,0.029575656187634174,0.009713773191170722,0.009713773191170722,0.22080944286168772
1995-01-25,0.2403261693920785,0.00898004869094582,0.014394855161386503,0.3287241043901367,0.00898004869094582,0.00898004869094582,0.00898004869094582,0.04377564739610221,0.00898004869094582,0.00898004869094582,0.00898004869094582,0.00898004869094582,0.00898004869094582,0.03571312952823547,0.00898004869094582,0.00898004869094582,0.23828560811031627
1995-01-26,0.20477381881896142,0.008616461560182625,0.012967636654406336,0.3061259725781765,0.008616461560182625,0.008616461560182625,0.008616461560182625,0.049968367175809714,0.008616461560182625,0.008616461560182625,0.008616461560182625,0.008616461560182625,0.008616461560182625,0.044580017466194756,0.008616461560182625,0.008616461560182625,0.2868030081603287
1995-01-27,0.17114717244226757,0.00866766307047991,0.013288410059747962,0.2717945871111326,0.00866766307047991,0.00866766307047991,0.00866766307047991,0.059437219463599596,0.00866766307047991,0.00866766307047991,0.00866766307047991,0.00866766307047991,0.00866766307047991,0.06453899989591463,0.00866766307047991,0.00866766307047991,0.3244492016557675
1995-01-30,0.17420359568115568,0.008682933223295181,0.014557450146885831,0.3052426173031859,0.008682933223295181,0.008682933223295181,0.008682933223295181,0.05294755044686261,0.008682933223295181,0.008682933223295181,0.008682933223295181,0.008682933223295181,0.008682933223295181,0.09703822231227024,0.008682933223295181,0.008682933223295181,0.26049828584652907
1995-01-31,0.16022301571972894,0.008640822766928727,0.021757891699956476,0.2989768456699991,0.008640822766928727,0.008640822766928727,0.008640822766928727,0.05893713367895534,0.008640822766928727,0.008640822766928727,0.008640822766928727,0.008640822766928727,0.008640822766928727,0.1524335388105165,0.008640822766928727,0.008640822766928727,0.21262249552327656
1995-02-01,0.1585528560721445,0.00800333143152367,0.013174274912428464,0.3905896939609962,0.00800333143152367,0.00800333143152367,0.00800333143152367,0.06764558167776392,0.00800333143152367,0.00800333143152367,0.00800333143152367,0.00800333143152367,0.00800333143152367,0.17642848643555067,0.00800333143152367,0.00800333143152367,0.10557241931365932
