,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,KOSPI,OMX,SGX,FTSE_JSE,RTS,NASDAQ,NIKKEI
2016-01-01,-0.0029359009426052855,-0.000849756674036491,-0.0011424872280363313,-0.0005122383042539252,-0.0010387617906189256,-3.7171432778029634e-05,-0.00010423518855939937,-0.0003799215596529992,-0.0006519952180203744,-0.0002516225347627409,-0.00129184731212389,-0.0005252058301051524,-0.005308811923665489,-0.0004964333098075624,-0.0005321531234735019,-0.0023442251732040034,-0.0005395342165731034
2016-01-04,0.00030030029684745,5.61156806037158e-05,4.7438356397574995e-05,6.430956150735321e-05,0.0002759676514463087,-0.0006835286508601534,-2.5142455773048626e-05,0.00011137587147919507,0.0001653145688032418,-1.4973176079387484e-05,0.00033219296711634966,-3.915300143606619e-05,-0.0007970198122251036,8.225062203685297e-05,0.0004063108330213783,-0.0005896295405340693,-1.817758525904348e-05
2016-01-05,-0.002887005156179902,-0.00015458162742470937,-0.0001334183087922033,-0.00020117650675390667,-0.0007302589838409473,-0.00046157213900313983,-0.00019843681588734702,-0.0001340313138086301,-0.0005564661564118421,-0.00015484012781291891,-0.00021015498082529798,0.0,-0.0017799811172017684,-0.0002149103825306126,-0.0012411339456673994,-0.0010595568495400738,-0.00013826833959437862
2016-01-06,-0.00577085387170629,-0.0003084573529164248,-0.00046077868227914275,-0.0002766827474397845,-0.0004276025568105076,-0.0006356574194800853,-0.0003409374910921851,-0.0002775223914223398,-0.00084617948833863,-0.0005020681928567005,-0.0006354571106445611,-0.00038949757704753604,-0.006425201116082996,-0.00033562056841357724,0.0,-0.004641924029912785,-0.0003602594816882771
2016-01-07,-0.0023205588698258965,-0.0002902621968758301,-0.00020825596145605384,-0.0002914249959290957,-0.0005226753884849357,-0.0001383625978617751,-3.694636243737446e-05,-5.431708930851236e-05,-0.00010208310771033278,-0.000167660587661893,0.00028014266899603705,-5.787075008775096e-05,0.001317331013166125,2.42028091414735e-06,0.0,-0.0008149811983034722,2.021777169616542e-05
2016-01-08,0.0002908588414225629,1.9439279979249953e-05,-4.978632462974069e-06,-9.27064574245912e-05,-0.00016588960426599394,-0.00033157227137697024,-8.12362473779916e-05,-0.00010134599523690725,-0.0006254314621524829,0.00028122058169238496,-0.00041688059925587475,0.0,-0.0007782350483213389,0.00011943342288429668,-0.0025345340890146014,0.00030650955876399406,0.0
2016-01-11,0.0011298976457647999,0.0002724301566226346,0.0003130190607250755,0.0003114410739814558,0.00027518872338894363,7.67421323160591e-05,8.375580771098597e-05,0.00010493188877327223,-0.000461835191884559,0.0001616641028568995,-0.0002652458903976219,-9.336530233808458e-06,-0.0019911039142420156,-4.6153250787020535e-05,-9.451436285344535e-05,0.0009738162021512671,-0.0006905255760209401
2016-01-12,-0.0045295923098376744,1.0946498378434403e-05,-0.00010527655469761756,6.171082730300166e-05,0.0002673910628321781,0.00038275926152042536,-0.0002758512980674281,3.819385951392185e-05,-0.0007552187286342155,-5.730013136723527e-06,0.0008365246039942281,0.00011004460557034954,0.0015819221711152354,-5.396745286671953e-05,-0.00048416361631738766,-0.0029105700402924746,0.0006933782363142685
2016-01-13,0.0036909007007011373,-0.0003294916722744939,-0.000352410760079678,-0.0004279030005391604,-0.00039781834585729656,-0.00037852950285154226,0.00023545112009402676,-3.549790168922638e-05,0.0008247663796142432,0.00011010177761213752,-0.0002725588984582134,-0.0002447419781937879,-0.001488171604390529,-0.0002634831000537824,0.0005414525920615189,0.0016890605207546816,-0.0004729446899902039
2016-01-14,-0.004184869417150724,-0.0008666507722990082,-0.0007919250466207114,-0.0006332648446125467,-0.0012953690507003942,-0.00027317750835087235,-0.00037226380560673194,-0.0003123201590941124,-0.0013806976109446902,-0.00020392353733383203,-0.0007895724350808457,-0.00037212197248791674,-0.0039426882133323975,-0.0002981610191941919,-0.003980524789312139,-0.0022174219212670546,-0.00022590819777347358
2016-01-15,0.0,-6.431837334373827e-05,3.884416482500991e-05,-0.0001337931701824451,-0.0008501228619470208,-9.660331575161703e-05,-0.00010204166662443772,-1.746400580616922e-05,-0.0005447347468625108,-0.0001456029405341178,1.8210299984268722e-05,-8.157840517903038e-06,-0.0033882946816705087,7.42403824466398e-05,-0.0007156044462934777,0.0,-0.00034516770902858943
2016-01-18,-0.00023349816240222278,0.0004053355890378328,0.00030184097556251147,0.0005635893338557002,0.000249749114798857,0.00021231454800810047,7.704595631566142e-05,0.0002101447796012002,-0.0002860077932400852,0.00020410468967659766,0.00023131148576875757,0.0003143302208252354,0.003162190411680307,0.0003683628562848587,0.0013272372875776906,7.071102957642244e-05,0.00022665412704096346
2016-01-19,-0.0020239942588445264,-0.000981074328160104,-0.0006369908413710511,-0.0009723534090086032,-0.0025272882608704966,-0.00031092972075431224,-0.0002385156038776497,-0.0004995666585881263,-0.0005351319634723799,9.319568110576752e-06,-0.0011087490776784594,-0.0004800402332520394,-0.004516054524809636,-0.0006789440002583477,-0.003387223472183758,-0.00019551623182399906,-0.0007933287869706582
