,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,OMX,FTSE_JSE,NASDAQ,NIKKEI
2014-09-11,-3.906228443061415e-07,0.0,-1.5046931389904721e-06,2.3369763818258648e-06,-4.2204190819770805e-07,-1.1807629111761215e-05,0.00021245488536183723,7.294886772588994e-06,-0.007008319885870544,3.745050392010023e-05,3.632853607234175e-06,-1.8723850549920646e-05,-0.0019163806959637175,3.56364780751623e-05
2014-09-12,-1.7236676059619278e-08,-4.588244671049391e-06,7.676166476740609e-07,-3.065605664918872e-05,-3.4356419870430864e-05,-8.911660971745329e-05,-0.0006069091894583622,-5.77289036750066e-06,0.0040848838387086825,6.0451035632220076e-05,3.160812213248408e-06,0.00019596739070219742,-0.003767918659812047,0.0
2014-09-15,5.178333958073863e-07,-1.7206913759890613e-05,-2.056256191027008e-06,-3.6296072620981426e-05,-1.6745438540549228e-05,-3.398952801507052e-05,0.0007630511025710692,-7.234194402744871e-06,0.00613916251754336,0.0,1.0722424753897073e-06,-0.00010438610101163885,0.0035358952542866294,-1.0893627102050388e-05
2014-09-16,7.157838906431506e-08,2.8537990346883654e-05,2.2594297909999577e-06,4.2357604496117436e-05,0.00017361979138705283,-7.412521182067374e-05,-0.0006372195503465065,-2.0499092268125607e-06,-0.0006807545325548363,8.243554182674671e-05,6.899969849794143e-06,-6.285863655723364e-05,0.0010308326840361734,-8.932245904242993e-05
2014-09-17,3.524493681913601e-07,5.5359197518934554e-05,1.089979220059017e-05,7.617539545337191e-05,1.8745806487319846e-05,1.604256847156468e-05,0.0001467030337046346,2.812812271376651e-05,-0.0007895370269057004,9.070537982415458e-05,6.91715843002366e-06,0.000406419924974693,0.004128347664138393,0.00012759713926720963
2014-09-18,-2.791301380724167e-08,2.43179877135478e-05,2.4678563018182236e-06,-3.03082282446082e-06,-0.00017746984489619622,0.00042404838730819566,-0.0023552413329638294,2.6158406161451883e-05,-0.0002846405855517113,-0.0002884577007355998,4.553353953069262e-06,1.2175706484777096e-05,-0.0004785073979023276,0.00015727334567679978
2014-09-19,-6.182782828456974e-07,-3.450110776374239e-05,-4.253025363122797e-06,-3.52100273957017e-05,-0.00024381052304596945,-0.0013204564798205676,-0.0016501221580032684,-7.151688482002496e-05,-0.0006715163918457383,-0.0003014732392583619,-3.864627158457171e-06,-0.0004259860922890459,-0.004957455493370988,-5.150999984442367e-05
2014-09-22,-5.045436016525109e-07,-7.842014350370318e-05,-6.207498341222467e-06,-0.00012201021788783662,-0.0002031340151615748,0.0004222795747450878,-0.0007050561601495153,-9.567748867138602e-05,-0.00018330003839323408,-0.00016979148103191542,-4.885047971583736e-06,-0.0001379196179132853,-0.0014950217247160676,0.0
2014-09-23,6.137568626276758e-07,4.653157181550997e-05,2.3630121564044838e-06,7.267048851343822e-05,0.0003665878503355754,-0.0001553933383379537,-0.0018148850233093842,2.1190415388306568e-05,0.0003538956259876272,0.0001225478014499415,7.255719171484377e-07,0.0,0.0031587112142659425,-3.4825989433814475e-05
2014-09-24,-8.251410588857155e-07,-3.791030492390252e-05,-3.7283129278064397e-06,-9.7307081421605e-05,-0.00040746239877478607,-1.535062947023282e-05,-0.007289996505248653,-6.727842844107609e-05,-0.002266790633163715,-0.00023477798877568457,-2.3786364493252932e-06,-0.00040747019837963835,-0.004565209898255846,6.338077615697473e-05
2014-09-25,3.007586729695058e-07,6.513752208926742e-06,-3.0581853823104095e-07,1.2146297055883832e-05,3.9104837414763045e-05,-1.5671307018766644e-05,0.0026821244985418572,2.3584085258136082e-06,0.0018320583488166465,3.958503402129261e-05,2.9834396640196245e-07,0.00234576578613644,0.0011978476727788907,-2.298255056647417e-06
2014-09-26,-1.5401997391168645e-07,-2.2308004828481887e-05,-1.7702777006390944e-06,-3.230467670702597e-05,-0.00033812513427953264,-2.9391230068745664e-05,-0.0023754275380577622,-1.6949951573311484e-05,-0.0038917410619091373,7.697519003606086e-06,-9.567833129908184e-07,-0.0018530558866273715,-0.000496126946244474,1.1218064622974549e-05
