,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,KOSPI,OMX,SGX,FTSE_JSE,RTS,NASDAQ,NIKKEI
1996-01-02,0.13988813017888344,0.017267777594366467,0.01709487908060657,0.017000101341414105,0.02247220257773432,0.03062723685632695,0.23367068702622557,0.018306305472672372,0.07121253862915028,0.04259223353270901,0.0309372553575992,0.02166931614215274,0.0701582980768003,0.05698311318136461,0.015178374541421898,0.1703427954198635,0.02459876027349684
1996-01-03,0.5962145949757068,0.014101744858059057,0.016960172904040723,0.01886393679328029,0.019929614220895397,0.01474645564322258,0.023889198706504192,0.035704644864875665,0.014598764104705344,0.014454124462547424,0.022198588045858888,0.014221274407537184,0.020320142666748316,0.1083079334426977,0.012710984848737323,0.02484556401159429,0.027932270000906326
1996-01-04,0.6366514682058607,0.014400642348348357,0.016179898574891834,0.015683243578502364,0.019907288077136164,0.013728531536515676,0.014179590430627047,0.027066770176141498,0.00998476050385255,0.011859829330371234,0.020238128764587065,0.014094550033319693,0.013922015437650351,0.09090039476199874,0.012835117011202591,0.014257576083361052,0.05411020491606371
1996-01-05,0.7289158344789364,0.011075232996918764,0.012125273459324766,0.01524018304773531,0.0162312628908556,0.01116444648545744,0.009902252750782235,0.028936611656004613,0.007829270046629928,0.009275544189174069,0.017431654147587836,0.011047421567021603,0.010731126002412016,0.0646679578392999,0.010075558649603737,0.009740999950061313,0.025609397310808864
1996-01-08,0.7226195142350468,0.010139864189674497,0.012370210693903339,0.01530811449981442,0.01518704935250975,0.010401359887836836,0.008737367443671918,0.04965090793828041,0.007024662124553628,0.00870782277336861,0.016211496977149867,0.01017273353565432,0.009319585746761363,0.06262950248343545,0.009270353765548005,0.008709723755706665,0.0235397407216139
1996-01-09,0.6409448897697573,0.012097834868476959,0.013437064194119632,0.014386667259680123,0.017058528290808932,0.012297224621914486,0.009703099876139529,0.08808538389470864,0.007603714708256395,0.010347191492155414,0.016373142534993442,0.012130048830425788,0.010051399113377277,0.08847226027808773,0.011067284570789818,0.010001969298705705,0.025942330531128006
1996-01-10,0.8510906529684973,0.00504068914106976,0.008408637025528808,0.0071127390827886525,0.009393406490553067,0.005271400421746615,0.004792588593406569,0.01638258079033277,0.004236207390758512,0.004658347199891775,0.009789498290619265,0.0050710651974413224,0.004889186095880868,0.039272386189302906,0.00442211353847826,0.0047065225374773555,0.015461875755310791
1996-01-11,0.8933174367813304,0.0031825169161808506,0.006103296750384882,0.0074855814132158095,0.0045891764234468274,0.0033356446223449,0.0029558083877388513,0.011899038490618253,0.003957093350140305,0.0028451609770541626,0.004414850658596657,0.003179292993621272,0.0030048614409884074,0.03263505818388347,0.002738927925419599,0.0028824891228347864,0.011473745213807078
1996-01-12,0.8124677902346573,0.004072055602432369,0.00789592436946924,0.014121353396814655,0.006284110288515189,0.004187405546229266,0.0036949760077337494,0.04504735085634123,0.003948558544043923,0.00362210366880802,0.0057100799419323965,0.004056613004574946,0.0037100502938284376,0.04185845741680539,0.0035387445400217794,0.0036578662596676594,0.03212655436923931
1996-01-15,0.791202876025939,0.004137534861728401,0.007216594324633586,0.009884441791260683,0.006533174602314135,0.004139414667300093,0.0037331116591105547,0.05397675541982675,0.0035938332273694374,0.0036958459389618147,0.005876357378160236,0.00410819761021028,0.0037369373585246727,0.03964298406606037,0.0036304881087169637,0.003725607618782277,0.051165845510303905
1996-01-16,0.8316885223900955,0.003839866442884854,0.007329277015434641,0.0053907913927464714,0.005407428966564762,0.003713209151361165,0.0034813359397944024,0.030730483371260053,0.003516443162334118,0.0034660099141116153,0.004864851254923949,0.003801627058826421,0.0034913715344190963,0.04204363018953822,0.003418142065805831,0.0034927674902206283,0.04032422681204189
1996-01-17,0.6018981038636688,0.006232369097465913,0.013042150378176298,0.007120775710937478,0.010471671116351186,0.005846542751452212,0.0056109146081098635,0.1499567955552386,0.0050668593296766765,0.005615359610848149,0.009028246583807492,0.006169341285835196,0.005517844169030126,0.07869052056671022,0.005495950043477857,0.005641348151034231,0.07859517383218494
1996-01-18,0.37799959649671966,0.010099506450464112,0.021730814291513238,0.0107156674217404,0.014284166773758149,0.009514432177153491,0.009364966847001832,0.18284519060578147,0.008061373832897865,0.009370569117846924,0.012215916402233821,0.009976031846490116,0.009176778128447775,0.1316235584903604,0.009176478674602433,0.009406003931309703,0.16443894864338168
1996-01-19,0.3587463759066246,0.013175441087499306,0.023881837469499883,0.012253408119872734,0.016766007043188848,0.012453085257539066,0.012362325963335702,0.09016101609100728,0.009993067393897772,0.01235720756726547,0.013264970125724,0.012960809935575125,0.01194652120653242,0.1853696949516756,0.012049126683499556,0.012405067349810998,0.1898540176917844
1996-01-22,0.2329443070981275,0.015971365314069397,0.03944398199991167,0.015424370748622749,0.01935932681394103,0.015137145751100471,0.01507705830363885,0.07792747805557106,0.011759477301519418,0.015051660556762646,0.015198408611918504,0.01568059916064177,0.014546385686666469,0.3451744165179297,0.01470629303968503,0.015117173519230373,0.12148055698288122
1996-01-23,0.19434178123883578,0.017283194428228392,0.051797152812441995,0.017985867335431168,0.020579908858935073,0.016389751562947252,0.016344326025916057,0.09920983056875464,0.01399525269527614,0.016289745700289748,0.016645177328251878,0.016933297262215714,0.01583004926468057,0.3217231741280491,0.015991946504209667,0.01637880206145953,0.13228072698977064
