,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,OMX,FTSE_JSE,NASDAQ,NIKKEI
2014-09-11,-0.00020536749274437273,0.0,-1.2402896047959387e-05,9.917415461258158e-07,-2.0457632297361617e-06,-1.5009596913995071e-05,0.0001510893486006446,8.913971996909456e-06,-0.014630046404212992,7.141262944357224e-05,4.431133037070893e-05,-1.4019015975868963e-05,-0.0005384734718623396,1.8157805954467487e-05
2014-09-12,-8.385667339893686e-06,-4.339654994034883e-06,5.549756733956074e-06,-1.3160138451935032e-05,-5.148453737809392e-05,-0.0001963881915356223,-0.0004325629066211334,-8.66577558597854e-06,0.009741574712824995,0.00010912884479873756,2.3260878863513446e-05,0.0002293947442906038,-0.0009507190396393715,0.0
2014-09-15,0.0003194086782985576,-1.3833230750653732e-05,-1.5383277170829953e-05,-1.2030729694363293e-05,-1.252989974939665e-05,-4.6703776410638496e-05,0.00041761151659316486,-1.0267288436663443e-05,0.013993553310718956,0.0,1.4977943535917094e-05,-0.0001301700511981005,0.000753959914151129,-5.087251123399078e-06
2014-09-16,4.977705993430043e-05,4.043083244170163e-05,2.516410051166705e-05,2.823393160945186e-05,0.0001504473242250764,-0.0002938963700477511,-0.0006207715012955393,-3.7569822186953233e-06,-0.002113860588276072,0.00020559504265514898,8.662161647603307e-05,-0.00010748838355156744,0.0002963574762161225,-2.4261151063058493e-05
2014-09-17,0.0002053399837075415,7.249729123682233e-05,9.778166632846967e-05,4.224367486960251e-05,8.291009194116972e-06,0.0001429940492838132,0.0001132905872329366,5.057376469241199e-05,-0.0017677558700715653,0.00011308919760267534,5.3942702913043275e-05,0.0005947896104346461,0.0010379305541953468,7.739179273675315e-05
2014-09-18,-7.421439951096901e-06,2.7998427941357557e-05,1.995939673843849e-05,-1.3065971137967138e-06,-3.065606510743737e-05,0.0022927976829005573,-0.0016002346802798193,3.578929108292805e-05,-0.0008743175706109065,-0.0003612021489978674,3.008411562109661e-05,1.5705309695754223e-05,-9.587420387555199e-05,6.902891137238352e-05
2014-09-19,-0.00012493879812891536,-2.3967013382765463e-05,-2.746287801726606e-05,-1.325847049637072e-05,-4.2374845518964296e-05,-0.007046868714127358,-0.0009055398593228675,-8.031500154826368e-05,-0.0017680333569871532,-0.0003852996535199568,-1.52076638862188e-05,-0.00021906600901209776,-0.0009360464381400896,-1.771146950774493e-05
2014-09-22,-0.00010082646902293315,-5.7495255332367335e-05,-6.31029409865996e-05,-5.2187792292197934e-05,-5.8081493132515706e-05,0.004339869719334128,-0.0003965950448677219,-0.00011540205875439422,-0.000351484651852906,-0.0002407493485085166,-5.742175986314838e-05,-8.159396806362015e-05,-0.0003627069593622872,0.0
2014-09-23,0.00010218106723887983,3.404986809879399e-05,2.3033931537094574e-05,4.064823212843549e-05,4.723662113127054e-05,-0.0019764652680067376,-0.001075704084178974,2.7244663223051174e-05,0.0006349905037414178,0.0002439829148517954,1.2971433774997856e-05,0.0,0.0008351866666441374,-1.3289195742364972e-05
2014-09-24,-0.00014531503332014357,-2.2003133773420783e-05,-2.9039994607351216e-05,-1.8412400874819934e-05,-4.775446312292321e-05,-0.00014908945967335394,-0.0072318452917749295,-7.603621733409034e-05,-0.0029547830216675418,-0.0009052421074990604,-5.46015920573649e-05,-0.0003961943673446453,-0.0007656184234942165,2.7286187530838683e-05
2014-09-25,5.086841141248327e-05,6.060081413999577e-06,-2.362770809562302e-06,1.0081298905677916e-05,6.15555191230833e-05,-0.00043185268333968083,0.00555601967126124,1.6852203622336078e-05,0.005517872160943971,0.00028860074163484167,9.433710554113306e-06,0.000271030393180982,0.000297388322267941,-1.1653334316296825e-06
2014-09-26,-1.2896735049405169e-05,-4.351636462671115e-06,-6.010933462618735e-06,-3.5267574973560716e-06,-2.4205995667076472e-05,-4.993790172666586e-05,-0.0031127604607636807,-2.809252033345277e-05,-0.0062744395203459735,3.656106521475928e-05,-7.2523601348457936e-06,-0.0012439514759803065,-4.7735141421044596e-05,1.4863237150474654e-06
2014-09-29,-7.833591452225999e-06,1.2743876376505082e-05,1.65965085286822e-05,1.247557256980394e-05,2.8739756229845912e-05,0.0002452423691228202,9.48019641764123e-05,-0.00020998476075243525,-0.0003765514346779281,7.857002237598117e-05,3.258730817331163e-05,-0.0006039544369091032,7.378912874008697e-05,-1.2530828392784198e-05
2014-09-30,-4.295419011552407e-05,-1.4294203887709378e-05,-5.5031861147613656e-05,-1.3280722978178072e-05,-1.2531758631149439e-05,0.0012065610153597535,-0.0022477685376605565,-0.0011984554197363507,-0.0029395130312289183,-0.0011929712019704659,-7.292817189445579e-05,-0.0026391839995375866,-0.0005057854149214487,-8.785065630151693e-06
2014-10-01,-3.130843147602383e-06,-3.0707041571796416e-05,-3.822939424313126e-05,-4.444921418704185e-05,-4.564503244212287e-05,-0.002133775072355039,-0.0009425711361363209,-0.0006137991674178222,0.002750656071020481,-0.00012710285623864035,-0.00011372926808624184,-0.0025832739324151486,-4.240200400382196e-05,-7.431617866112432e-05
2014-10-02,4.318176317192974e-05,6.0295631277005035e-06,0.0,5.381415055215142e-06,1.1969416250027138e-05,0.00026767080199420154,0.0008120490006139925,0.0007122200052979772,0.008635049341972546,0.0006768613827020149,2.563604492923364e-05,0.0017446341274701884,0.0004359952934135203,2.4960459009148684e-06
2014-10-03,-4.6227459894213486e-06,-2.233354975163365e-06,-1.7121014694755565e-05,2.376452633094113e-06,-9.79071685420644e-06,-0.0003528501033926747,-0.00045210508368456883,0.0008784754450682752,0.010316646694240351,0.0002622731072804801,-1.1644772641603916e-05,0.004751849102873532,-4.754781906700086e-05,2.2239188734476915e-05
2014-10-06,-2.4600001012252573e-05,-5.46941535514767e-05,-0.000705960146095526,-5.405113832882123e-05,-6.447635507271943e-05,-5.5094971264282825e-05,-0.00125069294619363,-0.0008342368413230962,0.0004193825811873796,-0.0003275910968316928,-0.00016200229810633447,-0.003996316356661982,-0.0002839858809003422,-4.8578709126119913e-05
2014-10-07,8.24038043473877e-05,-0.00013446085517719757,-0.000848942253494341,-9.382655950840455e-05,-0.00016945087080742497,-0.00010516935312367541,0.001168421193497928,-0.00017045788704701207,-0.00015199988979074013,-9.271650326158358e-05,-0.00021230804792835706,-0.0022125873968302646,0.0007669884807059286,-0.00038934991167920645
2014-10-08,-7.228298015313685e-05,-0.00018405092995416573,0.00015413431261523863,-0.0001723984037802111,-0.000987623700429355,9.266093413631244e-05,-0.0030797643337710074,-0.0006046647145580211,2.037776503922267e-06,-0.00038492186898095586,-0.0006685265684944363,6.455637001819944e-05,-0.0005627560263561107,-0.00020678230230415195
2014-10-09,-1.6086406732856506e-05,-0.0017132747390627154,-0.004126401418978485,-0.0010126862097118077,-0.001465836999792971,-0.0009324071535332224,-0.002626209722116907,-0.00025954444540249083,-8.458424313091045e-05,-0.0001821264949127793,-0.0016925264988434943,-0.002289800976378312,-0.0005821500989347315,-0.0004288110354914235
2014-10-10,-3.31672755357033e-05,4.809040169426792e-05,-1.4766778584037967e-05,0.00019744432928250902,-0.0013401918894054034,-6.532801010200343e-05,0.0,5.612601296673996e-05,0.00010305003343990705,-0.00017089517380181206,-0.0005052809015900415,0.0003203554628750699,-0.0003083686286601432,0.0
2014-10-13,1.0983719501983715e-05,0.00017078672215606753,0.0003927459639638019,0.00023331524546716222,-3.8589115790817905e-05,0.0002953564303314583,-0.0032910486728245044,0.0003320786588502886,2.9636914760971997e-06,0.00011417145342894142,0.0012326091102128432,0.00027997594062217993,6.145230758825426e-05,-0.0004851865559006388
2014-10-14,-9.774621029003289e-05,-0.0017512428106969298,-0.0022782195115985037,-0.0034357272550641885,-0.004517959246575588,0.0003235800549206572,-0.00341892343092922,-0.0014934918927732757,-2.0078947304994664e-05,-0.00040188717961503093,-0.004575751521243913,-0.0011473907633561542,-0.0004853841354587668,0.00011264162884664016
2014-10-15,1.112861655089844e-05,-6.928141152339654e-05,0.00026934708422129023,-0.00019968260705427451,-0.0020259463377605173,6.255109308826535e-05,0.005018936284190748,-7.040050765400206e-05,-3.3423577101489265e-05,-0.00021348840307939263,1.827551289131593e-05,0.0003063789010822706,-9.031921291640589e-05,-0.0013059312150388999
2014-10-16,0.0003057061428047009,0.000871677891260027,0.001947806042494253,0.0012627509910972253,0.006014042867268348,1.4852458284062243e-06,0.005019809853415061,0.0013054699083848962,3.555898828980802e-05,0.000665983258672453,0.0012291710195932197,0.0004529194973579267,0.0015055118199538173,-0.00011152031731196866
2014-10-17,0.00013330495721425634,-0.0005937983084454286,-0.0009245126306126891,-0.0006699725514954549,-0.0026492394388981312,2.133840319807528e-05,0.0013709197819122326,-0.0005782457474572939,-3.9856875000687296e-05,-0.00012032164958694141,-8.616787811069145e-05,-0.00011001842564204848,0.0017620029465452711,0.0006028214899846571
2014-10-20,0.00018140567884869464,0.0005517126746680764,0.0009916634494269965,0.0008286929350826132,0.009114444108694657,1.4596618829305264e-06,0.0010535336308284537,0.0013512455575425035,-6.681293255427868e-05,0.000452487720745254,0.0002785637889166186,0.00014949429854734433,0.001785739163759348,-0.0051105645698366516
2014-10-21,-2.5829396062814953e-05,0.00018411037860893798,0.0003695726794398291,0.00043320300260417285,0.005137774509005768,6.514526821457613e-06,-0.0007167902495668531,0.0007125124600148145,1.0577153971506184e-06,-0.00018564645179402548,5.4928719620467355e-05,-9.411238764595186e-05,-9.304677216226143e-05,0.0008157098681214365
2014-10-22,2.7777372056010195e-05,0.0003590557254927964,0.00119695021923638,0.0005494979632847514,0.0025419892733335595,-9.288546691262447e-07,0.0005183700109020437,0.0005817515268194386,-0.014511890326179182,0.0001525489338299653,8.383889180069661e-05,-9.779615683883232e-06,0.00015673044840703584,-3.8608270441277676e-05
2014-10-23,2.9303040370782242e-05,-4.087482831148539e-05,-0.00032408812843505165,-0.00010304856257419652,0.00015130716591909557,1.0259690428344718e-05,0.00013433779138505072,-0.0002345165568601194,0.01878854308698849,-1.4587809000878596e-05,-4.5366860697373925e-06,-3.897894969163126e-05,9.300019210396035e-05,0.0005100882193429054
2014-10-24,-4.153647021583941e-06,-6.141171869126579e-05,-0.00013094390637906933,-4.5697089574406296e-05,-0.00020481819311211614,1.2475267287329361e-05,-5.244311966419928e-05,-5.114927136784027e-05,-0.025172306987680824,7.942339803385802e-05,6.71229982094366e-06,5.063173977577187e-05,1.3406884489807493e-05,4.876268659501744e-05
2014-10-27,3.024780693318716e-05,9.670960087389174e-05,0.00033543996878993454,3.534571058894426e-05,0.0002235925763957296,3.4146869014246218e-06,0.00018430410891073532,0.00020663957511555953,0.030702113488580166,0.000168514191826102,5.823168514640548e-05,0.00040742305359440633,0.0002431333644158948,-2.8525394101845195e-05
