,SP500,ESTOXX50,DAX,CAC40,FTSEMIB,ASXPI200,SPTSX60,FTSE100,IBOV,FTSE,KOSPI,OMX,SGX,FTSE_JSE,RTS,NASDAQ,NIKKEI
1996-01-02,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999,0.05882352999999999
1996-01-03,0.17285159899999997,0.04119417711428571,0.06734312042857142,0.027306567035714283,0.04119417711428571,0.04119417711428571,0.04119417711428571,0.15675208792857143,0.032025039314285714,0.04119417711428571,0.04119417711428571,0.04119417711428571,0.04119417711428571,0.06064293678571428,0.04119417711428571,0.04119417711428571,0.07113688371428571
1996-01-04,0.30823496142857143,0.037846678354999996,0.04562501761428571,0.018145920459714283,0.037846678354999996,0.037846678354999996,0.037846678354999996,0.08072099718571428,0.017898764321428572,0.037846678354999996,0.037846678354999996,0.037846678354999996,0.037846678354999996,0.039975987053571437,0.037846678354999996,0.037846678354999996,0.11093155392857143
1996-01-05,0.4898201588571428,0.024686130342857143,0.03787815209285714,0.01646687426714286,0.024686130342857143,0.024686130342857143,0.024686130342857143,0.11029321810714285,0.012313110960142858,0.024686130342857143,0.024686130342857143,0.024686130342857143,0.024686130342857143,0.04047892034285714,0.024686130342857143,0.024686130342857143,0.045888231878571425
1996-01-08,0.3866981557142857,0.02767853797857142,0.05063315733285714,0.01664303159142857,0.02767853797857142,0.02767853797857142,0.02767853797857142,0.16605253386428567,0.010796788443142859,0.02767853797857142,0.02767853797857142,0.02767853797857142,0.02767853797857142,0.044356185796642855,0.02767853797857142,0.02767853797857142,0.0480347377
1996-01-09,0.3350770677142857,0.0292242305,0.038110009936428574,0.016138171746428568,0.0292242305,0.0292242305,0.0292242305,0.15437986839285714,0.010778672892357143,0.0292242305,0.0292242305,0.0292242305,0.0292242305,0.040352827688142856,0.0292242305,0.0292242305,0.11292108716428573
1996-01-10,0.68936687,0.012201070915475714,0.030290967935791432,0.015050787060583569,0.012201070915475714,0.012201070915475714,0.012201070915475714,0.07269055027948572,0.010326167187137287,0.012201070915475714,0.012201070915475714,0.012201070915475714,0.012201070915475714,0.027061019026828496,0.012201070915475714,0.012201070915475714,0.033203031308147155
1996-01-11,0.7493149953571429,0.007525668011789417,0.026936145909788253,0.01639285674804221,0.007525668011789417,0.007525668011789417,0.007525668011789417,0.06846149913822856,0.011921294509329359,0.007525668011789417,0.007525668011789417,0.007525668011789417,0.007525668011789417,0.026196604818426467,0.007525668011789417,0.007525668011789417,0.02551991061920088
1996-01-12,0.6544071447142856,0.006885567465447141,0.03178633426129643,0.017556022402557145,0.006885567465447141,0.006885567465447141,0.006885567465447141,0.15158515624071428,0.013368173061813997,0.006885567465447141,0.006885567465447141,0.006885567465447141,0.006885567465447141,0.027908607472775713,0.006885567465447141,0.006885567465447141,0.03453275951614286
1996-01-15,0.524280445,0.007325698495959285,0.03416030958041428,0.017557973936907143,0.007325698495959285,0.007325698495959285,0.007325698495959285,0.2510374893214286,0.01300441080415857,0.007325698495959285,0.007325698495959285,0.007325698495959285,0.007325698495959285,0.027648773262214286,0.007325698495959285,0.007325698495959285,0.05905361764171428
1996-01-16,0.6575170932857143,0.007822486369141428,0.03813664877410714,0.014149066822324287,0.007822486369141428,0.007822486369141428,0.007822486369141428,0.11771632757142855,0.01151937769050364,0.007822486369141428,0.007822486369141428,0.007822486369141428,0.007822486369141428,0.028006569463260717,0.007822486369141428,0.007822486369141428,0.05473005941921428
1996-01-17,0.39472075469999995,0.017951029159499993,0.05419747966285714,0.014530310582414285,0.017951029159499993,0.017951029159499993,0.017951029159499993,0.19614552628571427,0.01305393079040714,0.017951029159499993,0.017951029159499993,0.017951029159499993,0.017951029159499993,0.0396278182542857,0.017951029159499993,0.017951029159499993,0.10821395660714285
1996-01-18,0.27491733424071424,0.02322404903,0.06988740295,0.01586482290142857,0.02322404903,0.02322404903,0.02322404903,0.15819596078571427,0.013492032894999999,0.02322404903,0.02322404903,0.02322404903,0.02322404903,0.06874335351428572,0.02322404903,0.02322404903,0.16665867721428573
1996-01-19,0.18696328104111043,0.022665902132571424,0.05468134364964286,0.016774209664471428,0.022665902132571424,0.022665902132571424,0.022665902132571424,0.06415880329857143,0.015484790755114284,0.022665902132571424,0.022665902132571424,0.022665902132571424,0.022665902132571424,0.18155401940714289,0.022665902132571424,0.022665902132571424,0.25372453307142856
1996-01-22,0.13453220648374573,0.021708366874285713,0.08630790336928569,0.016699292312071425,0.021708366874285713,0.021708366874285713,0.021708366874285713,0.09523367095357144,0.017107260584285713,0.021708366874285713,0.021708366874285713,0.021708366874285713,0.021708366874285713,0.24814715042857136,0.021708366874285713,0.021708366874285713,0.18488886132142857
1996-01-23,0.12327692934105834,0.020674823230142858,0.1188848817857143,0.021289407078214286,0.020674823230142858,0.020674823230142858,0.020674823230142858,0.09401706262871427,0.023439864841342858,0.020674823230142858,0.020674823230142858,0.020674823230142858,0.020674823230142858,0.124047503225,0.020674823230142858,0.020674823230142858,0.2882961035714285
1996-01-24,0.10032792577458434,0.013956159894054998,0.056265610269999995,0.02506254966778572,0.013956159894054998,0.013956159894054998,0.013956159894054998,0.08529812426214284,0.014382706447085713,0.013956159894054998,0.013956159894054998,0.013956159894054998,0.013956159894054998,0.17363659051142855,0.013956159894054998,0.013956159894054998,0.40546491599999995
