,alpha_probs_bottom_train,alpha_probs_bottom_test,alpha_probs_bottom_validation,alpha_probs_top_train,alpha_probs_top_test,alpha_probs_top_validation,expected_value_bottom_train,expected_value_bottom_test,expected_value_bottom_validation,expected_value_top_train,expected_value_top_test,expected_value_top_validation,variance_top_train,variance_top_test,variance_top_validation,variance_bottom_train,variance_bottom_test,variance_bottom_validation,sharpe_of_average_train,sharpe_of_average_test,sharpe_of_average_validation,rets_of_average_train,rets_of_average_test,rets_of_average_validation,average_sharp_train,average_sharp_test,average_sharp_validation,average_rets_train,average_rets_test,average_rets_validation,sortino_of_average_train,sortino_of_average_test,sortino_of_average_validation,calmar_of_average_train,calmar_of_average_test,calmar_of_average_validation,percentage_of_positive_returns_train,percentage_of_positive_returns_test,percentage_of_positive_returns_validation,sharpe_of_average_transaction_cost_train,sharpe_of_average_transaction_cost_test,sharpe_of_average_transaction_cost_validation,rets_of_average_transaction_cost_train,rets_of_average_transaction_cost_test,rets_of_average_transaction_cost_validation,average_sharp_transaction_cost_train,average_sharp_transaction_cost_test,average_sharp_transaction_cost_validation,average_rets_transaction_cost_train,average_rets_transaction_cost_test,average_rets_transaction_cost_validation,sortino_of_average_transaction_cost_train,sortino_of_average_transaction_cost_test,sortino_of_average_transaction_cost_validation,calmar_of_average_transaction_cost_train,calmar_of_average_transaction_cost_test,calmar_of_average_transaction_cost_validation,percentage_of_positive_returns_transaction_cost_train,percentage_of_positive_returns_transaction_cost_test,percentage_of_positive_returns_transaction_cost_validation,alpha_probs_bottom_unnormalized_train,alpha_probs_bottom_unnormalized_test,alpha_probs_bottom_unnormalized_validation,alpha_probs_top_unnormalized_train,alpha_probs_top_unnormalized_test,alpha_probs_top_unnormalized_validation,expected_value_bottom_unnormalized_train,expected_value_bottom_unnormalized_test,expected_value_bottom_unnormalized_validation,expected_value_top_unnormalized_train,expected_value_top_unnormalized_test,expected_value_top_unnormalized_validation,variance_top_unnormalized_train,variance_top_unnormalized_test,variance_top_unnormalized_validation,variance_bottom_unnormalized_train,variance_bottom_unnormalized_test,variance_bottom_unnormalized_validation,seq_length,bias,last_layer_type,label_type,cross_sectional,batch_size,hidden_size,dropout,lr,grad_clip,loss_function_from_returns,epochs,early_stopping_dist,num_layers,type_net,type_dropout,optimizer_type,bootstrap_ratio,bootstrap_seed,input_normalization,using_swag,epochs_or_steps,start,freq,new_lr,shrinkage,momentum,adaptation,type_eval,number_of_days_per_epoch,removing_artificial_data,chosen_targets
./../Experiments2/useless_locked2/0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.167337566614151,0.16693638265132904,0.17076221108436584,0,0,0,4.050240756792018,1.3602488753477702,0.3147604081530723,0.9556012155039075,0.039324947771863294,0.02392271964888603,0.9304875649279258,0.4950880782641914,0.09300838913807026,0.00022479445201221068,5.243326369581773e-05,1.4189038937654822e-05,8.07986571363804,2.010406312445936,0.42397936614992204,8.07986571363804,2.010406312445936,0.42397936614992204,0.6071512585274054,0.5506666666666666,0.536773428232503,3.9441320485845908,1.239506323123408,0.18753716101233883,0.9304515596182978,0.035746888049374856,0.014247746283844445,0.8981123740085029,0.4524252961467611,0.047400677698112285,0.00021887827796243187,4.766251739916648e-05,8.45062057167523e-06,7.824642115548857,1.823721274898721,0.25146335827228783,7.824642115548857,1.823721274898721,0.25146335827228783,0.5869207245354034,0.548,0.5243179122182681,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.167337566614151,0.16693638265132904,0.17076221108436584,0,0,0,128,True,Softmax,1,False,22,142,0.2310957660239622,0.01,1,sharpe,36,0,1,LSTM,Locked,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/useless_locked2/1,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.1109793484210968,0.1060982272028923,0.11369486898183823,0,0,0,1.4203842187653415,0.7241272070555677,0.6620870926739086,0.30958351700096715,0.017540653726049935,0.04597566951138618,0.39888685567145965,0.407451699289983,0.23955070884280502,7.282604493083208e-05,2.338753830139992e-05,2.726908037448765e-05,2.2887689103764877,1.033927178612093,0.9102708574569541,2.2887689103764877,1.033927178612093,0.9102708574569541,0.5596330275229358,0.5386666666666666,0.5391459074733096,1.3595257285661293,0.6775126154886607,0.6002616064187886,0.2962931487395957,0.01635628604973336,0.041654923613803484,0.3743014980213786,0.38542519542302844,0.21050098881641133,6.969963508341466e-05,2.1808381399644477e-05,2.4706360387783794e-05,2.1846428129487174,0.9662126653981343,0.823376621885019,2.1846428129487174,0.9662126653981343,0.823376621885019,0.5511644318983768,0.5346666666666666,0.534994068801898,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.1109793484210968,0.1060982272028923,0.11369486898183823,0,0,0,64,True,Softmax,1,False,15,43,0.2126422188109302,0.01,1,sharpe,5,0,1,LSTM,Locked,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/useless_locked2/10,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.05251813679933548,0.04456727206707001,0.0456012524664402,0,0,0,0.5413223550684492,0.9664495922605582,0.5719372626353021,0.0925115323518389,0.020075457520422002,0.03292234118133433,0.256478767899659,0.5594512674514266,0.3421491230176632,2.176229883600068e-05,2.6767276693896002e-05,1.952689275286734e-05,0.7519017210609242,1.4036897325400999,0.7712392637287091,0.7519017210609242,1.4036897325400999,0.7712392637287091,0.5504587155963303,0.5493333333333333,0.5409252669039146,0.5236701871405515,1.008827041100836,0.5546730764215623,0.08949142358725462,0.020841276335584646,0.03192838276108877,0.24731427032091002,0.5838890903883146,0.33118358121633557,2.10518521729604e-05,2.7788368447446197e-05,1.8937356323302944e-05,0.7268868318949675,1.4719866626259601,0.7474477914754287,0.7268868318949675,1.4719866626259601,0.7474477914754287,0.5495177605269348,0.548,0.5409252669039146,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.05251813679933548,0.04456727206707001,0.0456012524664402,0,0,0,128,True,Softmax,1,False,36,154,0.4419481131828662,0.001,1,kelly,50,0,1,LSTM,Locked,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/useless_locked2/11,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.1754865199327469,0.16023845970630646,0.17106036841869354,0,0,0,2.5603551223368433,0.6699439492273623,0.7127677728497054,0.6683126554262734,0.01929510765865926,0.05509418384111762,0.581252133543892,0.2632570387939247,0.28304631036456734,0.00015721304526611934,2.5726810211545686e-05,3.267745186305908e-05,4.538941622581776,0.9571442749398433,1.0076034063489503,4.538941622581776,0.9571442749398433,1.0076034063489503,0.5673959068454482,0.5386666666666666,0.5421115065243179,2.4797673028266596,0.6056600364796919,0.6185822539456642,0.6472499201714601,0.017347412954720125,0.04776907104328769,0.555330225017537,0.23221751854862227,0.24564562064851855,0.0001522582733877817,2.312988393962684e-05,2.8332782350704432e-05,4.378968558427814,0.8652571303583714,0.8715530068367712,4.378968558427814,0.8652571303583714,0.8715530068367712,0.5539872971065631,0.5333333333333333,0.5326215895610913,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.1754865199327469,0.16023845970630646,0.17106036841869354,0,0,0,128,True,Softmax,1,False,36,40,0.24482461188291882,0.05,1,sharpe,38,0,1,LSTM,Locked,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/useless_locked2/12,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.16110563278198242,0.15741680562496185,0.16681718826293945,0,0,0,1.816131040524211,0.8913823620483774,0.562783870536646,0.4676538175275519,0.025193400843590296,0.044059977756199895,0.4565028058913784,0.36059192328586515,0.1757239138440057,0.00011001030758116958,3.359120112478706e-05,2.6132845644246675e-05,2.9628496534314497,1.3405169239238997,0.7920733725548987,2.9628496534314497,1.3405169239238997,0.7920733725548987,0.5586920724535404,0.5293333333333333,0.5355871886120996,1.7337253116820246,0.7974001960670206,0.47574739555230056,0.4464811506332804,0.022481838475591258,0.03719788336536495,0.42931674938909353,0.328191189473544,0.14123055180236674,0.00010502967551947318,2.9975784634121676e-05,2.206280152156877e-05,2.8181788940964636,1.1942542703133217,0.6675286493527527,2.8181788940964636,1.1942542703133217,0.6675286493527527,0.5422253587391203,0.5226666666666666,0.527876631079478,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.16110563278198242,0.15741680562496185,0.16681718826293945,0,0,0,64,True,Softmax,1,False,29,159,0.20040601406866732,0.05,1,sharpe,34,0,1,LSTM,Locked,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/useless_locked2/13,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882353335618973,0.1350090503692627,0.11858856678009033,0.12310484051704407,0,0,0,1.5431373512052386,1.1585406905637337,0.583409471872107,0.35170303575005296,0.02863309408139599,0.04225051068220943,0.4410133683009562,0.4822801186335055,0.24682195493737769,8.273418860269417e-05,3.817745877519466e-05,2.50596148767553e-05,2.505228501191594,1.6747301604927316,0.818193030822737,2.505228501191594,1.6747301604927316,0.818193030822737,0.550929193131028,0.5613333333333334,0.5462633451957295,1.4739464059752831,1.1127930338218908,0.517734207658206,0.33591178984185166,0.027356116724093073,0.0374500017630092,0.41584957705126174,0.4593090433937474,0.21388457993090879,7.90194753803462e-05,3.6474822298790756e-05,2.221233793772788e-05,2.385026306942436,1.6086699775430289,0.7244872575649571,2.385026306942436,1.6086699775430289,0.7244872575649571,0.5403434486003293,0.5586666666666666,0.5421115065243179,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882353335618973,0.1350090503692627,0.11858856678009033,0.12310484051704407,0,0,0,128,True,Softmax,1,False,32,73,0.26883702116452857,0.05,1,sharpe,30,0,1,LSTM,Locked,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/useless_locked2/14,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.1623469740152359,0.1592050939798355,0.1584666222333908,0,0,0,1.9047562314286888,0.9040453257699015,0.5448995939917846,0.4797431763944634,0.02347583655055534,0.040870882599042285,0.4847085428980161,0.3816896903773138,0.2028122818584034,0.00011285419345905983,3.130111540074045e-05,2.4241330129918303e-05,3.15877477687098,1.3208858081173327,0.7520637535107059,3.15877477687098,1.3208858081173327,0.7520637535107059,0.5619854151964244,0.5373333333333333,0.534994068801898,1.8304666510975454,0.815771415179297,0.46195805779054283,0.46100074243333716,0.02112009299633751,0.034596775917853664,0.4594835764895156,0.35087054944395824,0.1714194984600336,0.00010844524639692714,2.8160123995116676e-05,2.052003316598675e-05,3.025165106707854,1.187805756244718,0.6357207464381602,3.025165106707854,1.187805756244718,0.6357207464381602,0.5474006116207951,0.5293333333333333,0.5255041518386714,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.1623469740152359,0.1592050939798355,0.1584666222333908,0,0,0,128,True,Softmax,1,False,39,59,0.24041870512366764,0.05,1,sharpe,49,0,1,LSTM,Locked,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/useless_locked2/15,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.08516033738851547,0.08492343872785568,0.08897683024406433,0,0,0,0.9721699209289255,1.1491322285227714,0.5844011627942074,0.18168063782186267,0.023997809469779835,0.03724912166856513,0.33526412485922774,0.4725251071142514,0.26013148624642535,4.273832929236948e-05,3.199707929303978e-05,2.2093191974237908e-05,1.4177862540538646,1.692394113607627,0.7957040158848555,1.4177862540538646,1.692394113607627,0.7957040158848555,0.5521053869677723,0.544,0.536773428232503,0.9472837398222789,1.1792787281341672,0.5651771782970861,0.17702307810870815,0.024495999920177113,0.036018038021296765,0.32382968030382564,0.4867299633862859,0.24906628920541454,4.164269068659329e-05,3.266133322690281e-05,2.1363011875027737e-05,1.3800410440263127,1.743836420176056,0.7688115726498296,1.3800410440263127,1.743836420176056,0.7688115726498296,0.5504587155963303,0.5426666666666666,0.5344009489916963,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.08516033738851547,0.08492343872785568,0.08897683024406433,0,0,0,64,True,Softmax,1,False,23,145,0.4710254229302364,0.001,1,sharpe,22,0,1,LSTM,Locked,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/useless_locked2/16,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.06693824380636215,0.054571013897657394,0.05973213165998459,0,0,0,0.8406986565227226,1.1108879905244267,0.469346910028552,0.15383440550123223,0.02359381128139141,0.028321638248875146,0.30920203818063463,0.6200167307824312,0.2709318851580357,3.6187815925954416e-05,3.145841504185521e-05,1.6798124702772916e-05,1.224167962052568,1.6203770528024068,0.631438420747995,1.224167962052568,1.6203770528024068,0.631438420747995,0.549282521759586,0.5413333333333333,0.5480427046263345,0.8173712915116145,1.1445672346158744,0.4523496964336068,0.1495595267016389,0.0241818358779963,0.027290296801452618,0.29772877449104157,0.6386551452596169,0.25948289187681944,3.5182198706572304e-05,3.22424478373284e-05,1.6186415659224563e-05,1.189001711142656,1.6762756318373133,0.6080773753885753,1.189001711142656,1.6762756318373133,0.6080773753885753,0.547635850388144,0.5413333333333333,0.5474495848161328,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.06693824380636215,0.054571013897657394,0.05973213165998459,0,0,0,64,True,Softmax,1,False,21,146,0.4955056803133475,0.001,1,sharpe,21,0,1,LSTM,Locked,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
./../Experiments2/useless_locked2/17,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.05855054408311844,0.04668894782662392,0.04252353310585022,0,0,0,0.6953720183188028,1.078147630896467,0.5719233353085457,0.1306419158658107,0.022605311007995135,0.03432277556832498,0.27459663652489047,0.6209506149253725,0.36321605099827553,3.073204325236667e-05,3.0140414677326846e-05,2.0357518130679107e-05,1.010884063430777,1.5780885489576073,0.7738251023062254,1.010884063430777,1.5780885489576073,0.7738251023062254,0.5417548812044225,0.5453333333333333,0.5397390272835113,0.6786305336332186,1.1262318458915628,0.5552943591810674,0.1274906734093818,0.023469100321793696,0.033324228623575536,0.266279462750013,0.650057198695314,0.35259671659153957,2.9990748861298946e-05,3.129213376239159e-05,1.976526015633187e-05,0.9858274805217746,1.6574346020687347,0.7507670816485609,0.9858274805217746,1.6574346020687347,0.7507670816485609,0.5401082098329805,0.544,0.5397390272835113,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0.05882352963089943,0.05882352963089943,0.05882352963089943,0.05855054408311844,0.04668894782662392,0.04252353310585022,0,0,0,128,True,Softmax,1,False,9,143,0.49223597078333214,0.001,1,kelly,17,0,1,LSTM,Locked,Adam,0.0,,False,True,True,10,2,,0.0,0.9,0.99,new,70000,False,0.0
