,US10Y,US2Y,US5Y,DE10Y,DE2Y,DE5Y,FR10Y,IT3Y,AU10Y,AU3Y,JP10Y,GB10Y,KRW3Y,CAD10Y
2016-01-01,6.033340751065118e-05,2.2579685314421004e-05,3.3191158573057376e-05,0.00019243037446040637,1.660720128516034e-05,0.0001758145976683067,0.0004290539075125741,0.00024377430417828213,9.104528771931711e-05,3.803093877241449e-05,6.0065632508337964e-05,0.00018670778294291846,6.81799004663961e-05,-1.702148436722393e-05
2016-01-04,-6.839223241292576e-05,0.0,1.580211848153776e-05,5.607629913934975e-05,2.6303141621550088e-05,0.00020556883186562304,0.00021080770655083198,8.41407752274911e-05,1.277534068187326e-05,0.0,0.0,8.982612652869539e-06,-1.857912588274992e-05,1.863176604988091e-05
2016-01-05,0.0002308536346049957,4.7830997915551606e-05,8.533989016710507e-05,0.00013520891022109787,1.9609027482801396e-05,0.00013854801242955015,0.00039857935909010973,0.00011509114900241648,5.009514063311262e-05,0.0,4.882033390528127e-05,0.00022002184011523458,0.0,6.542039277856803e-05
2016-01-06,4.805563203197644e-05,2.55450025773572e-05,4.817516512093987e-05,-0.00010474913880298058,-3.2378901584414935e-06,-8.009894243729347e-05,-0.00040668860638261496,-0.0001754976899120774,6.675532446866359e-05,4.1472116182175444e-05,4.7847226815556176e-05,-2.477780918685796e-05,4.60101373571507e-06,3.9384246117721416e-06
2016-01-07,4.344690257931283e-05,1.4124428114302918e-05,5.026230125928192e-05,9.612854718832652e-05,1.3194018641623856e-05,0.00011104705577224074,0.00039390996601447155,8.828993628725094e-05,-7.944385144033378e-05,-3.8878563890932134e-05,7.857459057857135e-05,9.901767015043286e-05,-3.7870294845975e-05,1.1713421316733962e-05
2016-01-08,-6.922914771553593e-05,1.9290126562190866e-05,8.345210487571306e-06,-6.224957262198876e-05,-3.3969611758376704e-06,-5.0621348228901845e-05,-0.00029499207055351,-8.818882266984424e-05,3.284033897020502e-05,2.1992978313147187e-05,0.0,-1.001917282392642e-05,5.335634952457484e-05,-2.9109237956582437e-06
2016-01-11,0.0002081819776133236,1.0305067725087303e-05,4.7890410996262106e-05,8.812731051194865e-06,-7.0117602767829674e-06,-2.027600544016774e-05,-3.046137460316793e-05,5.8824696267088294e-05,-3.6946366334562344e-05,-1.4371917989651171e-05,3.882149594235845e-05,2.649928630117266e-05,-4.80157917454106e-06,5.882980074849294e-05
2016-01-12,0.00011295577920221151,1.3635142872866626e-05,3.903324799862945e-05,7.77346439794877e-05,3.619476452457505e-06,8.039784273580852e-05,0.0002599253187971763,-2.9117055702812005e-05,2.5371279451127808e-05,6.799715660359676e-06,9.316259103106834e-05,1.7661256026853095e-05,-4.929375401544878e-06,4.653683798556021e-05
2016-01-13,-0.00011998125847615637,1.342313068906937e-05,2.4692147235186173e-06,-1.3502814340882645e-05,-7.47528079290272e-06,2.986289927324522e-05,-0.00015151478149199316,-0.00011567682882056933,8.096761300477445e-05,3.9882390335411165e-05,-9.508946480721333e-05,3.19995436229424e-05,-3.376499846972101e-05,-1.8890906761415476e-06
2016-01-14,0.00018887676160926842,4.678683456516718e-05,0.00010541057633365363,0.00014077207740767857,3.4374717873396835e-05,0.00020629009467628876,0.00042615490019747227,0.0001732003027644688,-9.82900027699866e-06,0.0,0.00011932231976205072,0.00017481548745753374,0.0,8.511168732094122e-05
